Identifier,OmekaID,Thumbnail
ad5aa04c-e143-463b-afe0-27c88859d956,12208,https://iiif.dl.itc.u-tokyo.ac.jp/tmp4omeka/toyo/files/square/12208/P-III-a-2471_001.jpg
53177e66-5a71-40a0-a224-bdf3c239ffdb,13196,https://iiif.dl.itc.u-tokyo.ac.jp/tmp4omeka/toyo/files/square/13196/P-III-c-108_001.jpg
0b7ac8da-9fda-4958-af4d-56c0ba6deec0,10882,https://iiif.dl.itc.u-tokyo.ac.jp/tmp4omeka/toyo/files/square/10882/P-III-a-3277_001.jpg
0b1d1641-ae24-43d2-97d2-36527432bc12,12437,https://iiif.dl.itc.u-tokyo.ac.jp/tmp4omeka/toyo/files/square/12437/P-III-a-1544_001.jpg
1b321b41-dac7-4559-a294-903cab02548f,10954,https://iiif.dl.itc.u-tokyo.ac.jp/tmp4omeka/toyo/files/square/10954/P-III-a-2889_001.jpg
a506174f-eab9-410f-b138-ccb9cb254f6d,12436,https://iiif.dl.itc.u-tokyo.ac.jp/tmp4omeka/toyo/files/square/12436/P-III-a-1543_001.jpg
cf231fd9-4b3d-44cb-af25-ee20e84ba748,11353,https://iiif.dl.itc.u-tokyo.ac.jp/tmp4omeka/toyo/files/square/11353/P-III-b-0834_001.jpg
8d08a36d-efa2-405f-8bcc-08fb8b5d8cf7,11385,https://iiif.dl.itc.u-tokyo.ac.jp/tmp4omeka/toyo/files/square/11385/P-III-a-0714_001.jpg
71c6b7f8-4b80-4324-93de-5f8ba080b3fb,12400,https://iiif.dl.itc.u-tokyo.ac.jp/tmp4omeka/toyo/files/square/12400/P-III-b-0464_001.jpg
7b32b49e-6adc-4367-9b3f-c824b4c4e61f,13060,
1765087d-21b9-4884-bbfe-8b89a74c72d4,13632,https://iiif.dl.itc.u-tokyo.ac.jp/tmp4omeka/toyo/files/square/13632/P-III-a-3399_001.jpg
46cefa53-8b6a-48c8-bd01-d5d0a64c4593,12478,https://iiif.dl.itc.u-tokyo.ac.jp/tmp4omeka/toyo/files/square/12478/P-III-a-3270_001.jpg
b4e6af73-a75a-456a-8972-767db78afafd,13182,https://iiif.dl.itc.u-tokyo.ac.jp/tmp4omeka/toyo/files/square/13182/P-III-b-0280_001.jpg
01c2bf49-a6a5-4bd6-8ebe-358bb91a6744,11051,https://iiif.dl.itc.u-tokyo.ac.jp/tmp4omeka/toyo/files/square/11051/P-III-a-0103_0001.jpg
9304dfa2-9abf-4e75-ac93-5fea49b5349a,13002,https://iiif.dl.itc.u-tokyo.ac.jp/tmp4omeka/toyo/files/square/13002/P-III-a-1746_001.jpg
240d9744-b1bf-47f5-9d2b-13f84a2d13cd,12076,https://iiif.dl.itc.u-tokyo.ac.jp/tmp4omeka/toyo/files/square/12076/P-III-b-0976_001.jpg
66dedca6-7bc1-41a5-becd-39852a2ab1e4,13148,https://iiif.dl.itc.u-tokyo.ac.jp/tmp4omeka/toyo/files/square/13148/P-III-a-2811_001.jpg
78655b88-eeb0-4e35-aff0-b78693edd1d2,12802,https://iiif.dl.itc.u-tokyo.ac.jp/tmp4omeka/toyo/files/square/12802/P-III-c-463_001.jpg
c7cdd982-0c2a-44ba-ab18-49caa4800cef,13456,https://iiif.dl.itc.u-tokyo.ac.jp/tmp4omeka/toyo/files/square/13456/P-III-c-140_001.jpg
cfa3b331-05e8-409f-aa70-516e667897ae,13536,https://iiif.dl.itc.u-tokyo.ac.jp/tmp4omeka/toyo/files/square/13536/P-III-b-0638_001.jpg
ed3c605a-d283-4738-888b-6788e5a6f916,11037,https://iiif.dl.itc.u-tokyo.ac.jp/tmp4omeka/toyo/files/square/11037/P-III-b-0010_001.jpg
a3406c79-43dd-472f-ac7f-cb6c20abec2f,11668,https://iiif.dl.itc.u-tokyo.ac.jp/tmp4omeka/toyo/files/square/11668/P-III-b-0794_001.jpg
afd2658a-f686-4f90-abac-e7162ddb310c,11729,https://iiif.dl.itc.u-tokyo.ac.jp/tmp4omeka/toyo/files/square/11729/P-III-a-0811_001.jpg
9c1cad19-0839-4a60-a304-69a4e54a8163,11642,https://iiif.dl.itc.u-tokyo.ac.jp/tmp4omeka/toyo/files/square/11642/P-III-b-0796_001.jpg
8da0b8c6-7f26-460a-8caf-d1e1d7e9dd76,11417,https://iiif.dl.itc.u-tokyo.ac.jp/tmp4omeka/toyo/files/square/11417/P-III-a-0744_001.jpg
1d506ef8-dd7a-4455-b994-4cdbe60d7ebe,12107,https://iiif.dl.itc.u-tokyo.ac.jp/tmp4omeka/toyo/files/square/12107/P-III-a-0575_001.jpg
63ba6398-0488-4feb-bbe6-8bd3f2a3bc2c,12333,https://iiif.dl.itc.u-tokyo.ac.jp/tmp4omeka/toyo/files/square/12333/P-III-a-1514_001.jpg
f2795e99-4216-435e-9c26-bba3e2595056,10774,https://iiif.dl.itc.u-tokyo.ac.jp/tmp4omeka/toyo/files/square/10774/P-III-a-0091_0001.jpg
626f0ee8-2abd-436c-b8cd-c45b92cfb465,11667,https://iiif.dl.itc.u-tokyo.ac.jp/tmp4omeka/toyo/files/square/11667/P-III-a-1090_001.jpg
c024952f-64bb-4481-a116-243ef3422a9b,11330,https://iiif.dl.itc.u-tokyo.ac.jp/tmp4omeka/toyo/files/square/11330/P-III-a-0720_001.jpg
203a3045-cb47-421a-82e3-9414acc4864e,13592,https://iiif.dl.itc.u-tokyo.ac.jp/tmp4omeka/toyo/files/square/13592/P-III-c-243_001.jpg
07e32d3f-10ba-4367-a51d-e0589d3c3d88,12285,https://iiif.dl.itc.u-tokyo.ac.jp/tmp4omeka/toyo/files/square/12285/P-III-b-1097_001.jpg
875c4d07-c1b7-4b3d-bfdd-2c61508a6b6e,11315,https://iiif.dl.itc.u-tokyo.ac.jp/tmp4omeka/toyo/files/square/11315/P-III-b-0072_001.jpg
4ee7ce22-bcd8-45b0-acb5-1f5b90669f6c,11955,https://iiif.dl.itc.u-tokyo.ac.jp/tmp4omeka/toyo/files/square/11955/P-III-b-1150_001.jpg
e2312f61-8523-487b-ae75-700275219ad2,12453,https://iiif.dl.itc.u-tokyo.ac.jp/tmp4omeka/toyo/files/square/12453/P-III-b-0480_001.jpg
8d913aab-8b9e-4200-a5fe-d4cf4db99b98,13543,https://iiif.dl.itc.u-tokyo.ac.jp/tmp4omeka/toyo/files/square/13543/P-III-a-1988_001.jpg
5d60deb7-ec8d-4b5c-91db-d02dc503489a,10922,https://iiif.dl.itc.u-tokyo.ac.jp/tmp4omeka/toyo/files/square/10922/P-III-a-0202_0001.jpg
d22b5bc8-974a-42f8-b5a9-9074e1df09f6,11690,https://iiif.dl.itc.u-tokyo.ac.jp/tmp4omeka/toyo/files/square/11690/P-III-a-2436_001.jpg
9cc5542f-0b77-42a2-9a75-47bf708b0b7b,11501,https://iiif.dl.itc.u-tokyo.ac.jp/tmp4omeka/toyo/files/square/11501/P-III-b-0269_001.jpg
1c009543-1aaa-4ee2-a6f9-d2b0cabbb1a5,12099,https://iiif.dl.itc.u-tokyo.ac.jp/tmp4omeka/toyo/files/square/12099/P-III-b-0636_001.jpg
909587fe-0838-4038-b5ce-5cf69ae49a75,10906,https://iiif.dl.itc.u-tokyo.ac.jp/tmp4omeka/toyo/files/square/10906/P-III-a-0236_0001.jpg
8026027c-1a49-4150-b545-1440fb79e04d,11092,https://iiif.dl.itc.u-tokyo.ac.jp/tmp4omeka/toyo/files/square/11092/P-III-a-2252_001.jpg
e6570e43-2d19-4577-bd60-a52f32932cad,13010,https://iiif.dl.itc.u-tokyo.ac.jp/tmp4omeka/toyo/files/square/13010/P-III-a-2317_001.jpg
601371ab-3a7d-4b1a-8b01-b2a9ec7cf6aa,11116,https://iiif.dl.itc.u-tokyo.ac.jp/tmp4omeka/toyo/files/square/11116/P-III-b-0218_001.jpg
2c9ce7b3-7603-4437-989a-d95b80f3b407,12912,https://iiif.dl.itc.u-tokyo.ac.jp/tmp4omeka/toyo/files/square/12912/P-III-b-1090_001.jpg
9957af44-549c-4405-bd29-ee39a3e2771e,12414,https://iiif.dl.itc.u-tokyo.ac.jp/tmp4omeka/toyo/files/square/12414/P-III-a-1531_001.jpg
39fa31ec-16ab-428c-9ec6-7ba76e32d35d,11986,https://iiif.dl.itc.u-tokyo.ac.jp/tmp4omeka/toyo/files/square/11986/P-III-b-0604_001.jpg
2a0bb97d-9d06-42a0-892e-3d9bfec858db,12659,https://iiif.dl.itc.u-tokyo.ac.jp/tmp4omeka/toyo/files/square/12659/P-III-a-1670_001.jpg
4082887b-6b33-43db-a5e9-bd4cfe12f122,13361,https://iiif.dl.itc.u-tokyo.ac.jp/tmp4omeka/toyo/files/square/13361/P-III-a-0962_001.jpg
0e1d4d9d-960a-400e-bf8d-5c3493af3c35,11914,https://iiif.dl.itc.u-tokyo.ac.jp/tmp4omeka/toyo/files/square/11914/P-III-a-0649_001.jpg
ae22cdbd-fc17-4a2a-9ab0-c8e03d1b95fb,12092,https://iiif.dl.itc.u-tokyo.ac.jp/tmp4omeka/toyo/files/square/12092/P-III-b-0077_001.jpg
f759bbca-7b76-4722-9478-2e1278d039e0,11298,https://iiif.dl.itc.u-tokyo.ac.jp/tmp4omeka/toyo/files/square/11298/P-III-a-2369_001.jpg
d67a7bed-7fbb-4835-9e78-023cc93fa57f,13470,https://iiif.dl.itc.u-tokyo.ac.jp/tmp4omeka/toyo/files/square/13470/P-III-a-2021_001.jpg
99341d13-cb89-421f-a05f-18acf71cef08,10835,https://iiif.dl.itc.u-tokyo.ac.jp/tmp4omeka/toyo/files/square/10835/P-III-b-1187_001.jpg
